校,
个,1
机,11
六,
五,
字,1
小,1
今,
喜,00
狗,1
学,0
视,
儿,101
客,
同,
女,
星,1
汉,
她,
西,11
很,1
中,1
话,1
子,011
昨,0
钱,1
书,
关,1
三,
么,1
面,0
时,1
月,
家,1
前,1
杯,0
茶,
们,
欢,00
车,1
二,1
里,
人,1
你,
再,1
工,1
这,1
号,
妈,
商,
天,1
认,
医,1
请,
桌,
习,
说,11
语,
衣,
听,
米,
对,111
不,101
脑,1
雨,0
四,0
生,1
名,1
写,
谢,
叫,
友,
院,0
开,1
十,1
做,
影,1
的,
看,11
谁,
住,1
在,
呢,
作,
漂,
午,001
上,01
哪,111
吗,
喂,
觉,
大,1
岁,1
样,0
下,1
椅,
识,
见,1
飞,11
一,11
北,
京,
租,0
会,1
爸,0
去,
本,11
果,1
先,11
菜,
都,
有,11
店,
是,1
姐,
八,
东,11
好,011
出,1
他,1
没,
些,
水,1
现,
电,1
喝,
热,
老,
睡,
能,
国,0
高,
七,
候,0
亮,
朋,
系,
九,
分,
苹,1
钟,
年,
怎,1
坐,1
气,
起,111
来,
什,
师,
打,0
多,
后,
爱,1
吃,1
块,
买,
和,
服,
了,1
我,
冷,
回,
几,
想,
饭,
少,1
那,
兴,
明,1
期,
猫,01
读,
太,1
点,
