俊;jun4|zun4
却;que4
厨;chu2
参;can1|shen1
以;yi3
宿;xiu4|xiu3|su4
最;zui4
岸;an4
岛;dao3
帆;fan1
帽;mao4
廉;lian2
恩;en1
拿;na2
捷;jie2
晃;huang3|huang4
据;ju1|ju4
携;xie2
散;san4|san3
暖;nuan3
饮;yin3|yin4
法;fa3
深;shen1
碗;wan3
留;liu2
糊;hu4|hu2
蜂;feng1
脉;mai4|mo4
词;ci2
趟;tang1|tang4
射;she4
魂;hun2
一;yi1
一一;yi1 yi1
一一对应;yi1 yi1 dui4 ying4
一一映射;yi1 yi1 ying4 she4
一丁不识;yi1 ding1 bu4 shi2
一丁点;yi1 ding1 dian3
一下;yi1 xia4
一下儿;yi1 xia4 r
一下子;yi1 xia4 zi
一不小心;yi1 bu4 xiao3 xin1
一世;yi1 shi4
一并;yi1 bing4
一中一台;yi1 zhong1 yi1 tai2
一中原则;yi1 zhong1 yuan2 ze2
一之为甚;yi1 zhi1 wei2 shen4
一之谓甚;yi1 zhi1 wei4 shen4
一干二净;yi1 gan1 er4 jing4
一了百了;yi1 liao3 bai3 liao3
一事无成;yi1 shi4 wu2 cheng2
一二;yi1 er4
一二九运动;yi1 er4 jiu3 yun4 dong4
一二八事变;yi1 er4 ba1 shi4 bian4
一五一十;yi1 wu3 yi1 shi2
一些;yi1 xie1
一介不取;yi1 jie4 bu4 qu3
一代;yi1 dai4
一代不如一代;yi1 dai4 bu4 ru2 yi1 dai4
一来;yi1 lai2
一来二去;yi1 lai2 er4 qu4
一个中国政策;yi1 ge4 zhong1 guo2 zheng4 ce4
一个人;yi1 ge4 ren2
一个个;yi1 ge4 ge4
一个劲;yi1 ge4 jin4
一个劲儿;yi1 ge4 jin4 r
一个半;yi1 ge ban4
一个将军一个令;yi1 ge4 jiang1 jun1 yi1 ge4 ling4
一个巴掌拍不响;yi1 ge ba1 zhang3 pai1 bu4 xiang3
一个幽灵在欧洲游荡;yi1 ge4 you1 ling2 zai4 ou1 zhou1 you2 dang4
一个接一个;yi1 ge jie1 yi1 ge
一个样;yi1 ge yang4
一个头两个大;yi1 ge tou2 liang3 ge da4
一倡三叹;yi1 chang4 san1 tan4
一侧化;yi1 ce4 hua4
一价;yi1 jia4
一元;yi1 yuan2
一元化;yi1 yuan2 hua4
一元复始;yi1 yuan2 fu4 shi3
一元论;yi1 yuan2 lun4
一共;yi1 gong4
一再;yi1 zai4
一准;yi1 zhun3
一刀两断;yi1 dao1 liang3 duan4
一刀切;yi1 dao1 qie1
一分一毫;yi1 fen1 yi1 hao2
一分为二;yi1 fen1 wei2 er4
一分熟;yi1 fen1 shu2
一分钱一分货;yi1 fen1 qian2 yi1 fen1 huo4
一分钱两分货;yi1 fen1 qian2 liang3 fen1 huo4
一切;yi1 qie4
一切事物;yi1 qie4 shi4 wu4
一切向钱看;yi1 qie4 xiang4 qian2 kan4
一切如旧;yi1 qie4 ru2 jiu4
一切就绪;yi1 qie4 jiu4 xu4
一切险;yi1 qie4 xian3
一刻千金;yi1 ke4 qian1 jin1
一则;yi1 ze2
一刹那;yi1 cha4 na4
一动不动;yi1 dong4 bu4 dong4
一匙;yi1 chi2
一千零一夜;yi1 qian1 ling2 yi1 ye4
一半;yi1 ban4
一半天;yi1 ban4 tian1
一卡通;yi1 ka3 tong1
一去不回;yi1 qu4 bu4 hui2
一去不复返;yi1 qu4 bu4 fu4 fan3
一去无影踪;yi1 qu4 wu2 ying3 zong1
一反常态;yi1 fan3 chang2 tai4
一反往常;yi1 fan3 wang3 chang2
一口;yi1 kou3
一口吃不成胖子;yi1 kou3 chi1 bu4 cheng2 pang4 zi
一口吃个胖子;yi1 kou3 chi1 ge pang4 zi
一口咬定;yi1 kou3 yao3 ding4
一口气;yi1 kou3 qi4
一口气儿;yi1 kou3 qi4 r
一古脑儿;yi1 gu3 nao3 r
一句;yi1 ju4
一句话;yi1 ju4 hua4
一同;yi1 tong2
一吐为快;yi1 tu3 wei2 kuai4
一向;yi1 xiang4
一周;yi1 zhou1
一味;yi1 wei4
一呼百应;yi1 hu1 bai3 ying4
一呼百诺;yi1 hu1 bai3 nuo4
一命归天;yi1 ming4 gui1 tian1
一命归西;yi1 ming4 gui1 xi1
一命归阴;yi1 ming4 gui1 yin1
一品;yi1 pin3
一品红;yi1 pin3 hong2
一品锅;yi1 pin3 guo1
一哄而散;yi1 hong4 er2 san4|yi1 hong1 er2 san4
一哄而起;yi1 hong1 er2 qi3
一哭二闹三上吊;yi1 ku1 er4 nao4 san1 shang4 diao4
一唱一和;yi1 chang4 yi1 he4
一唱三叹;yi1 chang4 san1 tan4
一问三不知;yi1 wen4 san1 bu4 zhi1
一回事;yi1 hui2 shi4
一回生二回熟;yi1 hui2 sheng1 er4 hui2 shu2
一回生两回熟;yi1 hui2 sheng1 liang3 hui2 shu2
一国两制;yi1 guo2 liang3 zhi4
一团乱糟;yi1 tuan2 luan4 zao1
一团和气;yi1 tuan2 he2 qi4
一团漆黑;yi1 tuan2 qi1 hei1
一团火;yi1 tuan2 huo3
一团糟;yi1 tuan2 zao1
一堆;yi1 dui1
一场空;yi1 chang2 kong1
一块;yi1 kuai4
一块儿;yi1 kuai4 r
一塌糊涂;yi1 ta1 hu2 tu
一尘不染;yi1 chen2 bu4 ran3
一壁;yi1 bi4
一壁厢;yi1 bi4 xiang1
一夕;yi1 xi1
一夕数惊;yi1 xi1 shu4 jing1
一多对应;yi1 duo1 dui4 ying4
一夜之间;yi1 ye4 zhi1 jian1
一夜情;yi1 ye4 qing2
一夜无眠;yi1 ye4 wu2 mian2
一夜爆红;yi1 ye4 bao4 hong2
一夜露水;yi1 ye4 lu4 shui
一大早;yi1 da4 zao3
一大早儿;yi1 da4 zao3 r
一天一个样;yi1 tian1 yi1 ge yang4
一天到晚;yi1 tian1 dao4 wan3
一夫一妻;yi1 fu1 yi1 qi1
一夫多妻;yi1 fu1 duo1 qi1
一失足成千古恨;yi1 shi1 zu2 cheng2 qian1 gu3 hen4
一套;yi1 tao4
一如;yi1 ru2
一如往常;yi1 ru2 wang3 chang2
一如所料;yi1 ru2 suo3 liao4
一如既往;yi1 ru2 ji4 wang3
一妻制;yi1 qi1 zhi4
一孔之见;yi1 kong3 zhi1 jian4
一字;yi1 zi4
一字一泪;yi1 zi4 yi1 lei4
一字不差;yi1 zi4 bu4 cha1
一字不提;yi1 zi4 bu4 ti2
一字不漏;yi1 zi4 bu4 lou4
一字不落;yi1 zi4 bu4 la4
一字不识;yi1 zi4 bu4 shi2
一字之师;yi1 zi4 zhi1 shi1
一字儿;yi1 zi4 r
一字千金;yi1 zi4 qian1 jin1
一字巾;yi1 zi4 jin1
一学就会;yi1 xue2 jiu4 hui4
一定;yi1 ding4
一定要;yi1 ding4 yao4
一家;yi1 jia1
一家之主;yi1 jia1 zhi1 zhu3
一家人;yi1 jia1 ren2
一家人不说两家话;yi1 jia1 ren2 bu4 shuo1 liang3 jia1 hua4
一家子;yi1 jia1 zi
一审;yi1 shen3
一寸光阴一寸金;yi1 cun4 guang1 yin1 yi1 cun4 jin1
一对;yi1 dui4
一对一斗牛;yi1 dui4 yi1 dou4 niu2
一对儿;yi1 dui4 r
一小部分;yi1 xiao3 bu4 fen4
一小阵儿;yi1 xiao3 zhen4 r
一展身手;yi1 zhan3 shen1 shou3
一层;yi1 ceng2
一山不容二虎;yi1 shan1 bu4 rong2 er4 hu3
一己;yi1 ji3
一帆风顺;yi1 fan1 feng1 shun4
一席之地;yi1 xi2 zhi1 di4
一席话;yi1 xi2 hua4
一带;yi1 dai4
一带一路;yi1 dai4 yi1 lu4
一带而过;yi1 dai4 er2 guo4
一年之计在于春;yi1 nian2 zhi1 ji4 zai4 yu2 chun1
一年到头;yi1 nian2 dao4 tou2
一年半;yi1 nian2 ban4
一年半载;yi1 nian2 ban4 zai3
一年四季;yi1 nian2 si4 ji4
一年多;yi1 nian2 duo1
一年期;yi1 nian2 qi1
一年生;yi1 nian2 sheng1
一年被蛇咬十年怕井绳;yi1 nian2 bei4 she2 yao3 shi2 nian2 pa4 jing3 sheng2
一度;yi1 du4
一厢情愿;yi1 xiang1 qing2 yuan4
一式二份;yi1 shi4 er2 fen4
一往情深;yi1 wang3 qing2 shen1
一往无前;yi1 wang3 wu2 qian2
一往直前;yi1 wang3 zhi2 qian2
一律;yi1 lv4
一径;yi1 jing4
一心;yi1 xin1
一心一德;yi1 xin1 yi1 de2
一心一意;yi1 xin1 yi1 yi4
一心二用;yi1 xin1 er4 yong4
一心多用;yi1 xin1 duo1 yong4
一念之差;yi1 nian4 zhi1 cha1
一意;yi1 yi4
一意孤行;yi1 yi4 gu1 xing2
一应;yi1 ying1
一应俱全;yi1 ying1 ju4 quan2
一成不变;yi1 cheng2 bu4 bian4
一战;yi1 zhan4
一房一厅;yi1 fang2 yi1 ting1
一手;yi1 shou3
一手包办;yi1 shou3 bao1 ban4
一手遮天;yi1 shou3 zhe1 tian1
一打;yi1 da2
一技之长;yi1 ji4 zhi1 chang2
一把好手;yi1 ba3 hao3 shou3
一把手;yi1 ba3 shou3
一把抓;yi1 ba3 zhua1
一把死拿;yi1 ba3 si3 na2
一把眼泪一把鼻涕;yi1 ba3 yan3 lei4 yi1 ba3 bi2 ti4
一把钥匙开一把锁;yi1 ba3 yao4 shi kai1 yi1 ba3 suo3
一抓一大把;yi1 zhua1 yi1 da4 ba3
一折两段;yi1 zhe2 liang3 duan4
一拍两散;yi1 pai1 liang3 san4
一拍即合;yi1 pai1 ji2 he2
一扫而光;yi1 sao3 er2 guang1
一扫而空;yi1 sao3 er2 kong1
一排;yi1 pai2
一探究竟;yi1 tan4 jiu1 jing4
一推六二五;yi1 tui1 liu4 er4 wu3
一挥而就;yi1 hui1 er2 jiu4
一拨儿;yi1 bo1 r
一拥而上;yi1 yong1 er2 shang4
一拥而入;yi1 yong1 er2 ru4
一击入洞;yi1 ji1 ru4 dong4
一掷千金;yi1 zhi4 qian1 jin1
一改故辙;yi1 gai3 gu4 zhe2
一败涂地;yi1 bai4 tu2 di4
一文不值;yi1 wen2 bu4 zhi2
一文不名;yi1 wen2 bu4 ming2
一斑;yi1 ban1
一方;yi1 fang1
一方面;yi1 fang1 mian4
一旁;yi1 pang2
一族;yi1 zu2
一日三秋;yi1 ri4 san1 qiu1
一日三餐;yi1 ri4 san1 can1
一日不如一日;yi1 ri4 bu4 ru2 yi1 ri4
一日之计在于晨;yi1 ri4 zhi1 ji4 zai4 yu2 chen2
一日之雅;yi1 ri4 zhi1 ya3
一日千里;yi1 ri4 qian1 li3
一旦;yi1 dan4
一早;yi1 zao3
一星半点;yi1 xing1 ban4 dian3
一时;yi1 shi2
一时半刻;yi1 shi2 ban4 ke4
一时半会;yi1 shi2 ban4 hui4
一时半会儿;yi1 shi2 ban4 hui4 r
一时间;yi1 shi2 jian1
一晃;yi1 huang3
一暴十寒;yi1 pu4 shi2 han2
一曝十寒;yi1 pu4 shi2 han2
一更;yi1 geng1
一会;yi1 hui4
一会儿;yi1 hui4 r
一月;yi1 yue4
一月份;yi1 yue4 fen4
一望无际;yi1 wang4 wu2 ji4
一望而知;yi1 wang4 er2 zhi1
一朝一夕;yi1 zhao1 yi1 xi1
一朝天子一朝臣;yi1 chao2 tian1 zi3 yi1 chao2 chen2
一木难支;yi1 mu4 nan2 zhi1
一本正经;yi1 ben3 zheng4 jing1
一本万利;yi1 ben3 wan4 li4
一东一西;yi1 dong1 yi1 xi1
一板一眼;yi1 ban3 yi1 yan3
一板三眼;yi1 ban3 san1 yan3
一枝独秀;yi1 zhi1 du2 xiu4
一柱擎天;yi1 zhu4 qing2 tian1
一根筋;yi1 gen1 jin1
一杆进洞;yi1 gan1 jin4 dong4
一条心;yi1 tiao2 xin1
一条路走到黑;yi1 tiao2 lu4 zou3 dao4 hei1
一条道走到黑;yi1 tiao2 dao4 zou3 dao4 hei1
一条龙;yi1 tiao2 long2
一条龙服务;yi1 tiao2 long2 fu2 wu4
一棍子打死;yi1 gun4 zi da3 si3
一概;yi1 gai4
一概而论;yi1 gai4 er2 lun4
一枪命中;yi1 qiang1 ming4 zhong4
