俊;jun4|zun4
却;que4
以;yi3
最;zui4
岸;an4
帆;fan1
拿;na2
晃;huang3|huang4
深;shen1
碗;wan3
留;liu2
糊;hu4|hu2
趟;tang1|tang4
驮;duo4|tuo2
魂;hun2
鹅;e2
一;yi1
一一;yi1 yi1
一下;yi1 xia4
一不小心;yi1 bu4 xiao3 xin1
一干二净;yi1 gan1 er4 jing4
一事无成;yi1 shi4 wu2 cheng2
一个劲儿;yi1 ge4 jin4 r
一共;yi1 gong4
一再;yi1 zai4
一切;yi1 qie4
一刹那;yi1 cha4 na4
一动不动;yi1 dong4 bu4 dong4
一卡通;yi1 ka3 tong1
一向;yi1 xiang4
一味;yi1 wei4
一回事;yi1 hui2 shi4
一塌糊涂;yi1 ta1 hu2 tu
一大早;yi1 da4 zao3
一天到晚;yi1 tian1 dao4 wan3
一如既往;yi1 ru2 ji4 wang3
一定;yi1 ding4
一家人;yi1 jia1 ren2
一帆风顺;yi1 fan1 feng1 shun4
一年到头;yi1 nian2 dao4 tou2
一度;yi1 du4
一律;yi1 lv4
一心;yi1 xin1
一心一意;yi1 xin1 yi1 yi4
一应俱全;yi1 ying1 ju4 quan2
一成不变;yi1 cheng2 bu4 bian4
一手;yi1 shou3
一技之长;yi1 ji4 zhi1 chang2
一把手;yi1 ba3 shou3
一揽子;yi1 lan3 zi
一旁;yi1 pang2
一旦;yi1 dan4
一早;yi1 zao3
一晃;yi1 huang3
一会儿;yi1 hui4 r
一概;yi1 gai4
一概而论;yi1 gai4 er2 lun4
一样;yi1 yang4
一毛不拔;yi1 mao2 bu4 ba2
一流;yi1 liu2
一无所有;yi1 wu2 suo3 you3
一无所知;yi1 wu2 suo3 zhi1
一目了然;yi1 mu4 liao3 ran2
一直;yi1 zhi2
一眼;yi1 yan3
一瞬间;yi1 shun4 jian1
一筹莫展;yi1 chou2 mo4 zhan3
一系列;yi1 xi4 lie4
一丝不苟;yi1 si1 bu4 gou3
一经;yi1 jing1
一线;yi1 xian4
